created_at,entry_id,field1,field2,field3,field4,field5,field6
2025-11-19T12:56:33+00:00,61,816,21,0.000000,0.000000,19-11-2025 18:26:31,1
2025-11-19T12:56:49+00:00,62,799,19,0.000000,0.000000,19-11-2025 18:26:48,1
2025-11-19T12:57:06+00:00,63,217,0,0.000000,0.000000,19-11-2025 18:27:05,0
2025-11-19T12:57:22+00:00,64,198,0,0.000000,0.000000,19-11-2025 18:27:21,0
2025-11-19T12:57:40+00:00,65,3390,100,0.000000,0.000000,19-11-2025 18:27:37,1
2025-11-19T12:57:57+00:00,66,976,31,0.000000,0.000000,19-11-2025 18:27:55,1
2025-11-19T12:58:13+00:00,67,1199,46,0.000000,0.000000,19-11-2025 18:28:12,1
2025-11-19T12:58:30+00:00,68,1785,85,0.000000,0.000000,19-11-2025 18:28:30,1
2025-11-19T12:58:47+00:00,69,266,0,0.000000,0.000000,19-11-2025 18:28:46,0
2025-11-19T12:59:04+00:00,70,242,0,0.000000,0.000000,19-11-2025 18:29:03,0
2025-11-19T12:59:20+00:00,71,1040,36,0.000000,0.000000,19-11-2025 18:29:20,1
2025-11-19T12:59:37+00:00,72,320,0,0.000000,0.000000,19-11-2025 18:29:36,0
2025-11-19T12:59:54+00:00,73,253,0,0.000000,0.000000,19-11-2025 18:29:52,0
2025-11-19T13:00:11+00:00,74,207,0,0.000000,0.000000,19-11-2025 18:30:09,0
2025-11-19T13:00:28+00:00,75,722,14,0.000000,0.000000,19-11-2025 18:30:27,1
2025-11-19T13:00:44+00:00,76,687,12,0.000000,0.000000,19-11-2025 18:30:44,1
2025-11-19T13:01:01+00:00,77,652,10,0.000000,0.000000,19-11-2025 18:31:00,1
2025-11-19T13:01:18+00:00,78,954,30,0.000000,0.000000,19-11-2025 18:31:17,1
2025-11-19T13:01:35+00:00,79,658,10,0.000000,0.000000,19-11-2025 18:31:35,1
2025-11-19T13:01:52+00:00,80,599,6,0.000000,0.000000,19-11-2025 18:31:51,1
2025-11-19T13:02:09+00:00,81,815,21,0.000000,0.000000,19-11-2025 18:32:08,1
2025-11-19T13:02:25+00:00,82,599,6,0.000000,0.000000,19-11-2025 18:32:24,1
2025-11-19T13:02:42+00:00,83,565,4,0.000000,0.000000,19-11-2025 18:32:41,1
2025-11-19T13:02:58+00:00,84,576,5,0.000000,0.000000,19-11-2025 18:32:57,1
2025-11-19T13:03:15+00:00,85,589,5,0.000000,0.000000,19-11-2025 18:33:13,1
2025-11-19T13:03:32+00:00,86,573,4,0.000000,0.000000,19-11-2025 18:33:30,1
2025-11-19T13:03:48+00:00,87,573,4,0.000000,0.000000,19-11-2025 18:33:47,1
2025-11-19T13:04:05+00:00,88,569,4,0.000000,0.000000,19-11-2025 18:34:05,1
2025-11-19T13:04:22+00:00,89,577,5,0.000000,0.000000,19-11-2025 18:34:21,1
2025-11-19T13:04:39+00:00,90,575,5,0.000000,0.000000,19-11-2025 18:34:38,1
2025-11-19T13:04:55+00:00,91,548,3,0.000000,0.000000,19-11-2025 18:34:54,1
2025-11-19T13:05:12+00:00,92,544,2,0.000000,0.000000,19-11-2025 18:35:10,1
2025-11-19T13:05:28+00:00,93,560,4,0.000000,0.000000,19-11-2025 18:35:27,1
2025-11-19T13:05:45+00:00,94,213,0,0.000000,0.000000,19-11-2025 18:35:43,0
2025-11-19T13:06:03+00:00,95,1094,39,0.000000,0.000000,19-11-2025 18:36:02,1
2025-11-19T13:06:20+00:00,96,1056,37,0.000000,0.000000,19-11-2025 18:36:18,1
2025-11-19T13:06:36+00:00,97,1201,46,0.000000,0.000000,19-11-2025 18:36:35,1
2025-11-19T13:06:53+00:00,98,1346,56,0.000000,0.000000,19-11-2025 18:36:51,1
2025-11-19T13:07:09+00:00,99,1302,53,0.000000,0.000000,19-11-2025 18:37:07,1
2025-11-19T13:07:25+00:00,100,1200,46,0.000000,0.000000,19-11-2025 18:37:24,1
2025-11-19T13:07:42+00:00,101,1075,38,0.000000,0.000000,19-11-2025 18:37:40,1
2025-11-19T13:07:58+00:00,102,983,32,0.000000,0.000000,19-11-2025 18:37:54,1
2025-11-19T13:08:15+00:00,103,902,26,0.000000,0.000000,19-11-2025 18:38:13,1
2025-11-19T13:08:31+00:00,104,860,24,0.000000,0.000000,19-11-2025 18:38:30,1
2025-11-19T13:08:48+00:00,105,822,21,0.000000,0.000000,19-11-2025 18:38:46,1
2025-11-19T13:09:04+00:00,106,783,18,0.000000,0.000000,19-11-2025 18:39:02,1
2025-11-19T13:09:20+00:00,107,757,17,0.000000,0.000000,19-11-2025 18:39:19,1
2025-11-19T13:09:38+00:00,108,752,16,0.000000,0.000000,19-11-2025 18:39:36,1
2025-11-19T13:09:55+00:00,109,725,15,0.000000,0.000000,19-11-2025 18:39:53,1
2025-11-19T13:10:12+00:00,110,719,14,0.000000,0.000000,19-11-2025 18:40:10,1
2025-11-19T13:10:29+00:00,111,208,0,0.000000,0.000000,19-11-2025 18:40:28,0
2025-11-19T13:10:45+00:00,112,877,25,0.000000,0.000000,19-11-2025 18:40:44,1
2025-11-19T13:11:02+00:00,113,607,7,0.000000,0.000000,19-11-2025 18:41:01,1
2025-11-19T13:11:18+00:00,114,608,7,0.000000,0.000000,19-11-2025 18:41:18,1
2025-11-19T13:11:35+00:00,115,626,8,0.000000,0.000000,19-11-2025 18:41:34,1
2025-11-19T13:11:52+00:00,116,620,8,0.000000,0.000000,19-11-2025 18:41:50,1
2025-11-19T13:12:09+00:00,117,637,9,0.000000,0.000000,19-11-2025 18:42:07,1
2025-11-19T13:12:25+00:00,118,640,9,0.000000,0.000000,19-11-2025 18:42:24,1
2025-11-19T13:12:42+00:00,119,641,9,0.000000,0.000000,19-11-2025 18:42:41,1
2025-11-19T13:12:59+00:00,120,635,9,0.000000,0.000000,19-11-2025 18:42:58,1
2025-11-19T13:13:15+00:00,121,625,8,0.000000,0.000000,19-11-2025 18:43:14,1
2025-11-19T13:13:32+00:00,122,624,8,0.000000,0.000000,19-11-2025 18:43:31,1
2025-11-19T13:13:49+00:00,123,638,9,0.000000,0.000000,19-11-2025 18:43:48,1
2025-11-19T13:14:07+00:00,124,639,9,0.000000,0.000000,19-11-2025 18:44:04,1
2025-11-19T13:14:24+00:00,125,462,0,0.000000,0.000000,19-11-2025 18:44:23,0
2025-11-19T13:14:41+00:00,126,629,8,0.000000,0.000000,19-11-2025 18:44:39,1
2025-11-19T13:14:57+00:00,127,621,8,0.000000,0.000000,19-11-2025 18:44:56,1
2025-11-19T13:15:14+00:00,128,635,9,0.000000,0.000000,19-11-2025 18:45:12,1
2025-11-19T13:15:30+00:00,129,635,9,0.000000,0.000000,19-11-2025 18:45:29,1
2025-11-19T13:15:48+00:00,130,625,8,0.000000,0.000000,19-11-2025 18:45:46,1
2025-11-19T13:16:04+00:00,131,642,9,0.000000,0.000000,19-11-2025 18:46:03,1
2025-11-19T13:16:21+00:00,132,631,8,0.000000,0.000000,19-11-2025 18:46:20,1
2025-11-19T13:16:38+00:00,133,628,8,0.000000,0.000000,19-11-2025 18:46:36,1
2025-11-19T13:16:55+00:00,134,624,8,0.000000,0.000000,19-11-2025 18:46:53,1
2025-11-19T13:17:11+00:00,135,673,11,0.000000,0.000000,19-11-2025 18:47:10,1
2025-11-19T13:17:28+00:00,136,623,8,0.000000,0.000000,19-11-2025 18:47:26,1
2025-11-19T13:17:45+00:00,137,633,8,0.000000,0.000000,19-11-2025 18:47:44,1
2025-11-19T13:18:02+00:00,138,630,8,0.000000,0.000000,19-11-2025 18:48:01,1
2025-11-19T13:18:18+00:00,139,624,8,0.000000,0.000000,19-11-2025 18:48:17,1
2025-11-19T13:18:35+00:00,140,631,8,0.000000,0.000000,19-11-2025 18:48:34,1
2025-11-19T13:18:52+00:00,141,624,8,0.000000,0.000000,19-11-2025 18:48:50,1
2025-11-19T13:19:09+00:00,142,629,8,0.000000,0.000000,19-11-2025 18:49:07,1
2025-11-19T13:19:25+00:00,143,624,8,0.000000,0.000000,19-11-2025 18:49:24,1
2025-11-19T13:19:42+00:00,144,635,9,0.000000,0.000000,19-11-2025 18:49:41,1
2025-11-19T13:19:59+00:00,145,619,7,0.000000,0.000000,19-11-2025 18:49:58,1
